,index,id,title,popularity,tag1,tag2
0,0,27205,Inception,83.952,notadult en action sciencefiction adventure rescue mission dream airplane paris france virtualreality kidnapping philosophy spy allegory manipulation carcrash heist memory architecture losangeles california dreamworld subconsciousenglish french japanese swahili,cobb skill thief commit corpor espionag infiltr subconsci target offer chanc regain old life payment task consid imposs incept implant anoth person idea target subconsci
1,1,157336,Interstellar,140.241,notadult en adventure drama sciencefiction rescue future spacecraft raceagainsttime artificialintelligence(a.i.) nasa timewarp dystopia expedition spacetravel wormhole famine blackhole quantummechanics familyrelationships space robot astronaut scientist singlefather farmer spacestation curious spaceadventure timeparadox thoughtful time-manipulation fatherdaughterrelationship 2060s cornfield timemanipulation complicatedenglish,adventur group explor make use newli discov wormhol surpass limit human space travel conquer vast distanc involv interstellar voyag
2,2,155,The Dark Knight,130.643,notadult en drama action crime thriller joker sadism chaos secretidentity crimefighter superhero antihero scarecrow basedoncomic vigilante organizedcrime tragichero antivillain criminalmastermind districtattorney superpower supervillain neo-noirenglish mandarin,batman rais stake war crime help jim gordon district attorney harvey dent batman set dismantl remain crimin organ plagu street partnership prove effect soon find prey reign chao unleash rise crimin mastermind known terrifi citizen gotham joker
3,3,19995,Avatar,79.932,notadult en action adventure fantasy sciencefiction future society cultureclash spacetravel spacewar spacecolony tribe romance alien futuristic space alienplanet marine soldier battle loveaffair nature antiwar powerrelations joyfulenglish spanish,22nd centuri parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect alien civil
4,4,24428,The Avengers,98.082,notadult en sciencefiction action adventure newyorkcity superhero shield basedoncomic alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu)english hindi russian,unexpect enemi emerg threaten global safeti secur nick furi director intern peacekeep agenc known find need team pull world back brink disast span globe dare recruit effort begin
5,5,293660,Deadpool,72.735,notadult en action adventure comedy superhero antihero mercenary basedoncomic aftercreditsstinger duringcreditsstingerenglish,origin stori former special forc oper turn mercenari wade wilson subject rogu experi leav acceler heal power adopt alter ego deadpool arm new abil dark twist sens humor deadpool hunt man nearli destroy life
6,6,299536,Avengers: Infinity War,154.34,notadult en adventure action sciencefiction sacrifice magic superhero basedoncomic space battlefield genocide magicalobject superpower aftercreditsstinger marvelcinematicuniverse(mcu) cosmicenglish xhosa,aveng alli continu protect world threat larg one hero handl new danger emerg cosmic shadow thano despot intergalact infami goal collect six infin stone artifact unimagin power use inflict twist realiti everyth aveng fought led moment fate earth exist never uncertain
7,7,550,Fight Club,69.498,notadult en drama dualidentity rageandhate basedonnovelorbook nihilism fight supportgroup dystopia insomnia alterego breakingthefourthwall splitpersonality quittingajob dissociativeidentitydisorder selfdestructivenessenglish,insomniac slipperi soap salesman channel primal male aggress shock new form therapi concept catch underground fight club form everi town eccentr get way ignit spiral toward oblivion
8,8,118340,Guardians of the Galaxy,33.255,notadult en action sciencefiction adventure spacecraft basedoncomic space orphan adventurer aftercreditsstinger duringcreditsstinger marvelcinematicuniverse(mcu)english,light year earth 26 year abduct peter quill find prime target manhunt discov orb want ronan accus
9,9,680,Pulp Fiction,74.862,notadult en thriller crime drugdealer boxer massage stolenmoney briefcase crimeboss redemption heirloom dancecompetition losangeles california theft nonlineartimeline multiplestorylines neo-noir hilariousenglish spanish french,hit man philosoph partner gangster moll boxer converg sprawl comed crime caper adventur unfurl three stori ingeni trip back forth time
